40.59.29;["Asportazione radicale di altri linfonodi in corso di altro intervento, altro"]
40.59.99;["Asportazione radicale di altri linfonodi, altro"]
40.63;["Chiusura di fistola del dotto toracico"]
40.9;["Altri interventi sulle strutture linfatiche"];Anastomosi di vasi linfatici periferici;Correzione di linfedema degli arti, NAS;Dilatazione di vasi linfatici periferici;Legatura di vasi linfatici periferici;Obliterazione di vasi linfatici periferici;Ricostruzione di vasi linfatici periferici;Riparazione di vasi linfatici periferici;Trapianto di vasi linfatici periferici
40.9X.00;["Altri interventi sulle strutture linfatiche, NAS"]
40.9X.40;["Puntura terapeutica percutanea di linfocele"]
40.9X.99;["Altri interventi sulle strutture linfatiche, altro"]
41.00.05;["Trasfusione di cellule staminali di midollo osseo, da fornitore esterno"];In questo procedimento vengono trasfuse cellule staminali ottenute in un altro luogo e acquistate dall'ospedale. Quindi non si tratta di un preparato aferetico ottenuto nell'ospedale curante.
41.00.1;["Trasfusione di cellule staminali di midollo osseo, replicazione di cellule staminali in seguito a trapianto riuscito di cellule staminali ematopoietiche"]
41.00.11;["Trasfusione di cellule staminali di midollo osseo, replicazione di cellule staminali in seguito a trapianto riuscito di cellule staminali ematopoietiche non coltivate in vitro"]
41.00.18;["Trasfusione di cellule staminali di midollo osseo, replicazione di cellule staminali in seguito a trapianto riuscito di cellule staminali ematopoietiche, coltivate in vitro"]
41.01;["Trapianto autologo di midollo osseo senza purging"];Trapianto autologo di cellule staminali di midollo osseo
41.01.01;["Trapianto autologo di cellule staminali di midollo osseo, non coltivate in vitro"]
41.02;["Trapianto di midollo osseo allogenico con purging"];Alloinnesto di midollo osseo con rimozione in vitro (purging) di cellule T
41.02.11;["Trapianto allogenico di cellule staminali di midollo osseo coltivate in vitro, non HLA-identico(diverso per 1 antigene), da donatore consanguineo"]
41.02.12;["Trapianto allogenico di cellule staminali di midollo osseo coltivate in vitro, non HLA-identico, diverso per 2-3 antigeni (aploide), da donatore consanguineo"]
41.02.21;["Trapianto allogenico di cellule staminali di midollo osseo coltivate in vitro, non HLA-identico, da donatore non consanguineo"]
41.02.31;["Trapianto allogenico di cellule staminali di midollo osseo coltivate in vitro, HLA-identico, da donatore consanguineo"]
41.02.41;["Trapianto allogenico di cellule staminali di midollo osseo coltivate in vitro, HLA-identico, da donatore non consanguineo"]
41.03;["Trapianto di midollo osseo allogenico senza purging"];Alloinnesto di midollo osseo, NAS
41.03.01;["Trapianto allogenico di cellule staminali di midollo osseo, non HLA-identico, non coltivate in vitro, da donatore consanguineo"]
41.03.11;["Trapianto allogenico di cellule staminali di midollo osseo, non coltivate in vitro, non HLA-identico, da donatore non consanguineo"]
41.03.21;["Trapianto allogenico di cellule staminali di midollo osseo, non coltivate in vitro, HLA-identico, da donatore consanguineo"]
41.03.31;["Trapianto allogenico di cellule staminali di midollo osseo, non coltivate in vitro, HLA-identico, da donatore non consanguineo"]
41.04.01;["Trapianto autologo di cellule staminali ematopoietiche periferiche, non coltivate in vitro"];Senza pulizia;Senza purging
41.05.01;["Trapianto allogenico di cellule staminali ematopoietiche periferiche non coltivate in vitro, non HLA-identico, da donatore consanguineo"]
41.05.11;["Trapianto allogenico di cellule staminali ematopoietiche periferiche non coltivate in vitro, non HLA-identico, da donatore non consanguineo"]
41.05.21;["Trapianto allogenico di cellule staminali ematopoietiche periferiche non coltivate in vitro, HLA-identico, da donatore consanguineo"]
41.05.31;["Trapianto allogenico di cellule staminali ematopoietiche periferiche non coltivate in vitro, HLA-identico, da donatore non consanguineo"]
41.05.41;["Cellule staminali periferiche ematopoietiche allogeniche, non HLA-identiche, da fornitore esterno"];In questo procedimento vengono trasfuse cellule staminali ottenute in un altro luogo e acquistate dall'ospedale. Quindi non si tratta di un preparato aferetico ottenuto nell'ospedale curante.
41.05.51;["Cellule staminali periferiche ematopoietiche allogeniche, HLA-identiche, da fornitore esterno"];In questo procedimento vengono trasfuse cellule staminali ottenute in un altro luogo e acquistate dall'ospedale. Quindi non si tratta di un preparato aferetico ottenuto nell'ospedale curante.
41.06.01;["Trapianto allogenico di cellule staminali del sangue del cordone ombelicale, non consanguineo"]
41.06.03;["Trapianto allogenico di cellule staminali del sangue del cordone ombelicale, consanguineo"]
41.06.04;["Trapianto allogenico di cellule staminali del sangue del cordone ombelicale, da fornitore esterno"];In questo procedimento vengono trasfuse cellule staminali ottenute in un altro luogo e acquistate dall'ospedale. Quindi non si tratta di un preparato aferetico ottenuto nell'ospedale curante.
41.07;["Trapianto autologo di cellule staminali ematopoietiche, con purging"];Deplezione cellulare
41.07.01;["Trapianto autologo di cellule staminali ematopoietiche periferiche, coltivate in vitro"]
41.07.02;["Trapianto autologoa di cellule staminali ematopoietiche periferiche, supporto di cellule staminali dopo chemioterapia"]
41.08;["Trapianto allogenico di cellule staminali ematopoietiche, con purging"];Deplezione cellulare
41.08.0;["Trapianto allogenico di cellule staminali ematopoietiche periferiche coltivate in vitro, non HLA-identico"]
41.08.01;["Trapianto allogenico di cellule staminali ematopoietiche periferiche coltivate in vitro, da donatore consanguineo, non HLA-identico, diverso per 1 antigene"]
41.08.02;["Trapianto allogenico di cellule staminali ematopoietiche periferiche coltivate in vitro, da donatore consanguineo, non HLA-identico, diverso per 2-3 antigeni (aploide)"]
41.08.11;["Trapianto allogenico di cellule staminali ematopoietiche periferiche coltivate in vitro, non-HLA-identico, da donatore non consanguineo"]
41.08.21;["Trapianto allogenico di cellule staminali ematopoietiche periferiche coltivate in vitro, HLA-identico,  da donatore consanguineo"]
41.08.31;["Trapianto allogenico di cellule staminali ematopoietiche periferiche coltivate in vitro, HLA-identico, da donatore non consanguineo"]
41.09;["Trapianto autologo di midollo osseo, con purging"];Con purging extracorporeo di cellule maligne del midollo osseo;Deplezione cellulare;Trapianto autologo di cellule staminali di midollo osseo
41.09.01;["Trapianto autologo di cellule staminali di midollo osseo, coltivate in vitro"]
41.32;["Biopsia [per aspirazione] [percutanea] della milza"];Agobiopsia della milza
41.33;["Biopsia a cielo aperto della milza"]
41.38;["Altre procedure diagnostiche sul midollo osseo"]
41.4;["Asportazione o distruzione di lesione o tessuto della milza"];Altra applicazione o somministrazione di gel anti-aderenza (99.77)
41.42.00;["Asportazione o distruzione di lesione o tessuto della milza, NAS"]
41.42.10;["Asportazione di lesione o tessuto della milza"]
41.42.20;["Distruzione di lesione o tessuto della milza"]
41.42.99;["Asportazione o distruzione di lesione o tessuto della milza, altro"]
41.5;["Splenectomia totale"];Splenectomia, NAS;Altra applicazione o somministrazione di gel anti-aderenza (99.77)
41.9;["Altri interventi sulla milza e sul midollo osseo"];Altra applicazione o somministrazione di gel anti-aderenza (99.77)
41.91.0;["Prelievo di midollo osseo o di sangue del cordone ombelicale o di linfociti da donatore per trapianto"]
41.91.00;["Prelievo di midollo osseo da donatore per trapianto allogenico e autologo"]
41.91.01;["Prelievo di cellule staminali da donatore per trapianto allogenico e autologo"]
41.91.02;["Raccolta di cellule staminali del sangue del cordone ombelicale per trapianto, consanguineo e non consanguineo"]
41.92;["Iniezione nel midollo osseo"]
41.93;["Asportazione di milza accessoria"]
41.95.10;["Interventi di riparazione e di plastica sulla milza, sutura"]
41.95.99;["Interventi di riparazione e di plastica sulla milza, altro"]
41.99;["Altri interventi sulla milza"]
42.01;["Incisione di membrana dell'esofago"];Incisione di stenosi membranosa congenita dell'esofago *
42.19;["Altra fistolizzazione esterna dell'esofago"];Esofagostomia toracica;Eventuale resezione (42.40-42.42)
42.22;["Esofagoscopia attraverso stoma artificiale"];Cromoendoscopia esofagea (42.29.10)
42.23;["Altra esofagoscopia"];Cromoendoscopia esofagea (42.29.10)
42.24;["Biopsia chiusa [endoscopica] dell'esofago"];Biopsia aspirativa dell'esofago;Brushing o washing per raccolta di campione;Esofagoscopia con biopsia;Cromoendoscopia esofagea (42.29.10)
42.29.10;["Cromoendoscopia esofagea"];Cromoendoscopia virtuale
42.32;["Asportazione locale di altra lesione o tessuto dell'esofago"]
42.33;["Asportazione o distruzione endoscopica di lesione o tessuto esofageo"];Asportazione di neoplasia esofagea per via endoscopica;Asportazione o distruzione di varici esofagee con approccio endoscopico;Controllo di sanguinamento esofageo per via endoscopica;Iniezione di varici esofagee per via endoscopica;Polipectomia esofagea per via endoscopica;Cromoendoscopia esofagea (42.29.10)
42.33.00;["Asportazione o distruzione endoscopica di lesione o tessuto esofageo, NAS"]
42.33.10;["Resezione endoscopica della mucosa esofagea"]
42.33.20;["Asportazione o distruzione endoscopica di lesione o tessuto esofageo, Elettro-, termo- e crioablazione"]
42.33.21;["Asportazione o distruzione endoscopica di lesione o tessuto esofageo, Terapia fotodinamica"]
42.33.22;["Asportazione o distruzione endoscopica di lesione o tessuto esofageo, mediante laser"]
42.33.29;["Asportazione o distruzione endoscopica di lesione o tessuto esofageo, altra procedura"]
42.33.30;["Inserzione endoscopica di applicatore radioattivo nell'esofago"]
42.33.99;["Asportazione o distruzione endoscopica di lesione o tessuto esofageo, altro"]
42.39;["Altra distruzione di lesione o tessuto dell'esofago"]
42.41;["Esofagectomia parziale"];Eventuale anastomosi sincrona diversa da termino-terminale (42.51-42.69);Eventuale esofagostomia sincrona (42.10-42.19);Eventuale gastrostomia sincrona (43.11-43.19)
42.42;["Esofagectomia totale"];Eventuale gastrostomia sincrona (43.11-43.19);Eventuale interposizione o anastomosi diversa da termino-terminale (42.51-42.69)
42.42.10;["Esofagectomia totale, senza ricostituzione della continuità"]
42.42.20;["Esofagectomia totale, con ricostituzione della continuità, transmediastinica"]
42.42.21;["Esofagectomia totale, con ricostituzione della continuità, per via toracoaddominale"]
42.42.29;["Esofagectomia totale, con ricostituzione della continuità, per altra via"]
42.5;["Anastomosi intratoracica dell'esofago"];Eventuale esofagectomia sincrona(42.40-42.42);Eventuale gastrostomia sincrona (43-43.19)
42.51.10;["Esofago-esofagostomia intratoracica, Ricostruzione del passaggio esofageo per atresia e riparazione di fistola tracheoesofagea congenita"]
42.53;["Anastomosi esofagea intratoracica con interposizione di intestino tenue"]
42.54;["Altra esofago-enteranastomosi intratoracica"];Anastomosi dell'esofago a segmento intestinale, NAS
42.55;["Anastomosi esofagea intratoracica con interposizione di colon"]
42.56;["Altra esofagocolostomia intratoracica"];Esofagocolostomia, NAS
42.58;["Anastomosi esofagea intratoracica con altra interposizione"];Costruzione di esofago artificiale;Formazione retrosternale di tubo gastrico rovesciato
42.59;["Altra anastomosi esofagea intratoracica"]
42.6;["Anastomosi presternale dell'esofago"];Eventuale esofagectomia sincrona(42.40-42.42);Eventuale gastrostomia sincrona(43.11-43.19)
42.64;["Altra esofagoenterostomia presternale"];Esofagodigiunostomia antetoracica;Esofagoenterostomia antetoracica;Esofagoileostomia antetoracica
42.65;["Anastomosi esofagea presternale con interposizione di colon"]
42.66;["Altra esofagocolostomia presternale"];Esofagocolostomia antetoracica
42.7X.21;["Esofagomiotomia, faringocervicale, chirurgica a cielo aperto"]
42.7X.22;["Esofagomiotomia, faringocervicale, per via laparoscopica"]
42.7X.30;["Esofagogastromiotomia, per via endoscopica"]
42.7X.32;["Esofagogastromiotomia, per via laparoscopica"]
42.81.10;["Inserzione e sostituzione di protesi non autoespandente (sonda permanente) nell'esofago, per via endoscopica"]
42.81.11;["Inserzione e sostituzione di due protesi non autoespandenti (sonda permanente) nell'esofago, per via endoscopica"]
42.81.12;["Inserzione e sostituzione di più di due protesi non autoespandenti (sonda permanente) nell'esofago, per via endoscopica"]
42.81.20;["Inserzione e sostituzione di una protesi non autoespandente (sonda permanente) nell'esofago, chirurgica a cielo aperto"]
42.81.21;["Inserzione e sostituzione di due protesi non autoespandenti (sonda permanente) nell'esofago, chirurgica a cielo aperto"]
42.81.22;["Inserzione e sostituzione di più di due protesi non autoespandenti (sonda permanente) nell'esofago, chirurgica a cielo aperto"]
42.81.30;["Inserzione e sostituzione di una protesi non autoespandente (sonda permanente) nell'esofago, per via laparoscopica"]
42.81.31;["Inserzione e sostituzione di due protesi non autoespandenti (sonda permanente) nell'esofago, per via laparoscopica"]
42.81.32;["Inserzione e sostituzione di più di due protesi non autoespandenti (sonda permanente) nell'esofago, per via laparoscopica"]
42.81.40;["Inserzione e sostituzione di una protesi autoespandente (sonda permanente) nell'esofago, per via endoscopica"]
42.81.41;["Inserzione e sostituzione di due protesi autoespandenti (sonda permanente) nell'esofago, per via endoscopica"]
42.81.42;["Inserzione e sostituzione di più di due protesi autoespandenti (sonda permanente) nell'esofago, per via endoscopica"]
42.81.50;["Inserzione e sostituzione di una protesi autoespandente (sonda permanente) nell'esofago, chirurgica a cielo aperto"]
42.81.51;["Inserzione e sostituzione di due protesi autoespandenti (sonda permanente) nell'esofago, chirurgica a cielo aperto"]
42.81.52;["Inserzione e sostituzione di più di due protesi autoespandenti (sonda permanente) nell'esofago, chirurgica a cielo aperto"]
42.81.60;["Inserzione e sostituzione di una protesi autoespandente (sonda permanente) nell'esofago, per via laparoscopica"]
42.81.61;["Inserzione e sostituzione di due protesi autoespandenti (sonda permanente) nell'esofago, per via laparoscopica"]
42.81.62;["Inserzione e sostituzione di più di due protesi autoespandenti (sonda permanente) nell'esofago, per via laparoscopica"]
42.81.99;["Inserzione di una sonda permanente nell'esofago, altro"]
42.82;["Sutura di lacerazione dell'esofago"]
42.84;["Riparazione di fistola esofagea, NAC"]
42.88.10;["Rimozione di protesi dall'esofago, per via endoscopica"]
42.88.11;["Rimozione di protesi dall'esofago, chirurgica a cielo aperto"]
42.88.12;["Rimozione di protesi dall'esofago, per via laparoscopica"]
42.91;["Legatura di varici esofagee"]
42.92;["Dilatazione dell'esofago"];Dilatazione dello sfintere del cardias
42.99.20;["Interventi anti-reflusso sull'esofago, per via endoscopica"]
42.99.99;["Altri interventi sull'esofago, altro"]
43;["Incisione ed asportazione dello stomaco"];Altra applicazione o somministrazione di gel anti-aderenza (99.77)
43.41;["Asportazione o distruzione di lesione o tessuto dello stomaco per via endoscopica"];Asportazione o distruzione di varici gastriche con approccio endoscopico;Polipectomia gastrica con approccio endoscopico;Cromoendoscopia gastrica (44.19.10)
43.41.00;["Asportazione o distruzione endoscopica di lesione o tessuto dello stomaco, NAS"]
43.41.20;["Asportazione o distruzione endoscopica di lesione o tessuto dello stomaco, elettro-, termo- o criocoagulazione"]
43.41.29;["Asportazione o distruzione endoscopica di lesione o tessuto dello stomaco, altre procedure"];Terapia fotodinamica, laser
43.41.99;["Asportazione o distruzione endoscopica di lesione o tessuto dello stomaco, altro"]
43.42;["Asportazione locale di altra lesione o tessuto dello stomaco"];Cromoendoscopia gastrica (44.19.10)
43.5;["Gastrectomia parziale, con anastomosi esofagea"];Gastrectomia prossimale
43.6;["Gastrectomia parziale, con anastomosi duodenale"];Gastrectomia distale;Gastropilorectomia
